function	header	classification	citation
kl_drain_free	drain.h	unreviewed	-
kl_drain_init	drain.h	unreviewed	-
kl_drain_on_drain	drain.h	unreviewed	-
kl_drain_pending	drain.h	unreviewed	-
kl_drain_set_max_size	drain.h	unreviewed	-
kl_drain_write	drain.h	unreviewed	-
kl_event_add	event.h	unreviewed	-
kl_event_close	event.h	unreviewed	-
kl_event_ctx_dispatch_begin	event_ctx.h	unreviewed	-
kl_event_ctx_dispatch_end	event_ctx.h	unreviewed	-
kl_event_ctx_free	event_ctx.h	unreviewed	-
kl_event_ctx_init	event_ctx.h	unreviewed	-
kl_event_ctx_init_ex	event_ctx.h	unreviewed	-
kl_event_ctx_run	event_ctx.h	unreviewed	-
kl_event_del	event.h	unreviewed	-
kl_event_dispatch	event_ctx.h	unreviewed	-
kl_event_init	event.h	unreviewed	-
kl_event_init_provider	event.h	unreviewed	-
kl_event_mod	event.h	unreviewed	-
kl_event_wait	event.h	unreviewed	-
kl_file_io_create	file_io.h	unreviewed	-
kl_free	allocator.h	unreviewed	-
kl_handle_valid	handle.h	unreviewed	-
kl_http1_chunked_decode	http1_chunked.h	unreviewed	-
kl_http1_chunked_init	http1_chunked.h	unreviewed	-
kl_http1_request_parser_llhttp	http1_parser.h	unreviewed	-
kl_http1_response_parser_llhttp	http1_parser.h	unreviewed	-
kl_http2_client_close	http2_client.h	unreviewed	-
kl_http2_client_connect	http2_client.h	unreviewed	-
kl_http2_client_free	http2_client.h	unreviewed	-
kl_http2_client_request	http2_client.h	unreviewed	-
kl_http2_client_response_free	http2_client.h	unreviewed	-
kl_http2_server_cleanup	http2_server.h	unreviewed	-
kl_http2_server_drain_shutdown	http2_server.h	unreviewed	-
kl_http2_server_on_readable	http2_server.h	unreviewed	-
kl_http2_server_on_writable	http2_server.h	unreviewed	-
kl_http2_server_upgrade	http2_server.h	unreviewed	-
kl_http2_server_upgrade_from_h1	http2_server.h	unreviewed	-
kl_http_body_reader_buffer	http_body_reader.h	unreviewed	-
kl_http_body_reader_multipart	http_body_reader_multipart.h	unreviewed	-
kl_http_client_cancel	http_client.h	unreviewed	-
kl_http_client_error	http_client.h	unreviewed	-
