KlIoVec	struct	socket.h
KlListener	opaque	listener.h
KlListenerAcceptFn	callback	listener.h
KlListenerArmFn	callback	listener.h
KlListenerCancelFn	callback	listener.h
KlListenerCloseFn	callback	listener.h
KlListenerDisarmFn	callback	listener.h
KlListenerDisposeFn	callback	listener.h
KlListenerHooks	struct	listener.h
KlListenerState	enum	listener.h
KlPeerCert	struct	tls.h
KlPeerCred	struct	http_server.h
KlPlatformCap	enum	http_server.h
KlProxyResult	enum	proxy_protocol.h
KlResolveDoneFn	callback	resolver.h
KlResolveReq	struct	resolver.h
KlResolveResult	struct	resolver.h
KlResolver	struct	resolver.h
KlResolverCacheConfig	struct	resolver_cache.h
KlSlotLease	struct	listener.h
KlSlotReleaseFn	callback	listener.h
KlSlotReserveFn	callback	listener.h
KlSockAddr	struct	sockaddr.h
KlSocketHandle	alias	handle.h
KlSocketOps	struct	socket.h
KlSocketProvider	struct	socket.h
KlStream	opaque	stream.h
KlStreamCancelFn	callback	stream.h
KlStreamCloseFn	callback	stream.h
KlStreamCloseState	enum	stream.h
KlStreamReadArmFn	callback	stream.h
KlStreamReadDeliverFn	callback	stream.h
KlStreamReadDisarmFn	callback	stream.h
KlStreamSubmitFn	callback	stream.h
KlStreamWriteFn	callback	stream.h
KlStreamWriteStatus	enum	stream.h
KlThreadPool	opaque	thread_pool.h
KlThreadPoolConfig	struct	thread_pool.h
KlTimerEntry	struct	timer.h
KlTimerFn	callback	timer.h
KlTls	struct	tls.h
KlTlsConfig	struct	tls.h
KlTlsCtx	opaque	tls.h
KlTlsFactory	callback	tls.h
KlTlsResult	enum	tls.h
KlUrl	struct	url.h
KlWatcher	struct	event_ctx.h
KlWatcherFn	callback	event_ctx.h
KlWorkCancelFn	callback	thread_pool.h
KlWorkDoneFn	callback	thread_pool.h
KlWorkFn	callback	thread_pool.h
KlWorkItem	struct	thread_pool.h
KlWsClientCallbacks	struct	websocket_client.h
KlWsClientConfig	struct	websocket_client.h
KlWsClientConn	opaque	websocket_client.h
KlWsFrameParseState	enum	websocket.h
KlWsFrameParser	struct	websocket.h
KlWsServerCallbacks	struct	websocket_server.h
KlWsServerConfig	struct	websocket_server.h
KlWsServerConn	struct	websocket_server.h
kl_ssize_t	alias	handle.h
